"Country","Mortality Rate","Region"
"CAYMAN ISLANDS",7.1,"CENTRAL AMERICA AND THE CARIBBEAN"
"KUWAIT",7,"MIDDLE EAST"
"URUGUAY",6.9,"SOUTH AMERICA"
"NORTH MACEDONIA",6.8,"EUROPE"
"SRI LANKA",6.8,"SOUTH ASIA"
"RUSSIA",6.4,"CENTRAL ASIA"
"COSTA RICA",6.3,"CENTRAL AMERICA AND THE CARIBBEAN"
"SAINT MARTIN",6.3,"CENTRAL AMERICA AND THE CARIBBEAN"
"MALAYSIA",6.3,"EAST AND SOUTHEAST ASIA"
"SAINT BARTHELEMY",6.3,"CENTRAL AMERICA AND THE CARIBBEAN"
"THAILAND",6.2,"EAST AND SOUTHEAST ASIA"
"QATAR",6.2,"MIDDLE EAST"
"SAN MARINO",6.1,"EUROPE"
"CHINA",6,"EAST AND SOUTHEAST ASIA"
"GIBRALTAR",5.9,"EUROPE"
"PUERTO RICO",5.7,"CENTRAL AMERICA AND THE CARIBBEAN"
"FAROE ISLANDS",5.6,"EUROPE"
"ROMANIA",5.3,"EUROPE"
"CUBA",5.2,"CENTRAL AMERICA AND THE CARIBBEAN"
"UNITED STATES",5,"NORTH AMERICA"
"SLOVAKIA",5,"EUROPE"
"UNITED ARAB EMIRATES",4.9,"MIDDLE EAST"
"NEW CALEDONIA",4.8,"AUSTRALIA AND OCEANIA"
"POLAND",4.6,"EUROPE"
"MALTA",4.6,"EUROPE"
"HUNGARY",4.6,"EUROPE"
"CHILE",4.5,"SOUTH AMERICA"
"SERBIA",4.4,"EUROPE"
"MACAU",4.3,"EAST AND SOUTHEAST ASIA"
"FRENCH POLYNESIA",4.2,"AUSTRALIA AND OCEANIA"
"ISLE OF MAN",4,"EUROPE"
"WALLIS AND FUTUNA",3.8,"AUSTRALIA AND OCEANIA"
"CANADA",3.8,"NORTH AMERICA"
"BOSNIA AND HERZEGOVINA",3.8,"EUROPE"
"TAIWAN",3.8,"EAST AND SOUTHEAST ASIA"
"LIECHTENSTEIN",3.8,"EUROPE"
"JERSEY",3.7,"EUROPE"
"UNITED KINGDOM",3.7,"EUROPE"
"NETHERLANDS",3.6,"EUROPE"
"CROATIA",3.4,"EUROPE"
"GREECE",3.4,"EUROPE"
"NEW ZEALAND",3.3,"AUSTRALIA AND OCEANIA"
"ANDORRA",3.3,"EUROPE"
"GUERNSEY",3.2,"EUROPE"
"AUSTRIA",3.2,"EUROPE"
"IRELAND",3.2,"EUROPE"
"FRANCE",3.1,"EUROPE"
"MONTENEGRO",3.1,"EUROPE"
"LUXEMBOURG",3.1,"EUROPE"
"DENMARK",3.1,"EUROPE"
"AUSTRALIA",3,"AUSTRALIA AND OCEANIA"
"SWITZERLAND",3,"EUROPE"
"BELGIUM",3,"EUROPE"
"GERMANY",3,"EUROPE"
"ITALY",3,"EUROPE"
"ANGUILLA",2.9,"CENTRAL AMERICA AND THE CARIBBEAN"
"ISRAEL",2.6,"MIDDLE EAST"
"LITHUANIA",2.5,"EUROPE"
"CZECHIA",2.5,"EUROPE"
"HONG KONG",2.4,"EAST AND SOUTHEAST ASIA"
"PORTUGAL",2.4,"EUROPE"
"SPAIN",2.4,"EUROPE"
"LATVIA",2.4,"EUROPE"
"SWEDEN",2.2,"EUROPE"
"KOREA SOUTH",2.2,"EAST AND SOUTHEAST ASIA"
"BELARUS",2.1,"EUROPE"
"BERMUDA",2.1,"NORTH AMERICA"
"ESTONIA",2,"EUROPE"
"FINLAND",1.9,"EUROPE"
"NORWAY",1.8,"EUROPE"
"JAPAN",1.8,"EAST AND SOUTHEAST ASIA"
"SLOVENIA",1.8,"EUROPE"
"MONACO",1.7,"EUROPE"
"ICELAND",1.6,"EUROPE"
